reviewId,content,score
c32cb3ea-1433-47c3-aff1-de72a8028847,Good game calms stress,5
d7865715-b12d-42b3-bbd0-8bfbaa0b9a2e,I love this game 🥰,5
33cddc75-0b62-4760-8c53-fdc706f751c5,Love it,5
d44da338-e3d5-4f5a-ba81-7920347b5409,very good,1
9e0922b8-2118-4e54-8236-b531b8c8dac2,all time hakk game,1
dee9f3f9-debd-4ce4-9d28-93688655a506,Good game,5
d0220996-b3ea-442e-a8df-30b4518c9e44,nice job,5
0f19acd9-e9b1-4a3e-90f4-a4d47c3eaa92,this game is so awesome,5
bfdb9885-efac-4598-8282-ef75074116f0,pretty cool,4
972c554e-909e-4505-8c0a-4791f0c66049,great to play,5
baf21b8d-b052-4020-a9a3-62db81712d26,fun,4
7dfe556b-850d-4679-9fea-19c142a78edf,nice,4
07b08748-f3d1-4345-a112-39217eb836c3,very fun,5
0ccc5a41-6eaa-4320-9561-c8be2682520d,Fantastic great game no wifi needed,5
0f4951df-0c22-49ec-8f42-873222458333,Hadnt played it for year but after seeing the updates its game on..was disappointed it didnt save my last account but great fun. Gang 💯💯💯 2025 still playing since 2016,5
4ffc5fc0-3502-458c-ad5a-2a008a3db884,great game,5
b15db36f-0bcf-4210-ab94-b4740c81a237,Really fun and relaxing if you want to play games before bedtime 🌙😴😌,5
419af51c-8db4-4593-8389-3b7b221a51c5,somewhat intertaining,2
f4617b24-bc47-4473-b6d1-c778bdc42cbc,great stress relief,5
db2585c2-2793-4df8-a7e8-5900f2820672,"Update: I am an idiot, because I became so frustrated I feel into the trap of buying items to help me. Loathe it and like it. I'm at a level now where I have been stuck for two weeks and I play six or more times a day. the level is so impossible to pass, I am sure they do this to make most people purchase things in the app to help. I don't understand why you would make a level so tough to pass, that a kidney stone world be preferable. I am about to delete this app and never look back.",1
b3fe43d7-47ef-4548-88ec-416e3d96d0bd,"I love this game it's challenging is fun it's easy to play, just a really good game",5
030347a1-41b3-445a-9dbd-cff8bd00a11d,Just relaxing fun!,5
f90296ed-12a8-43ca-bf28-2fe41cca8e0f,super easy,5
e2169086-486f-422a-8230-f4e54fbdaf98,love this game this is a major change,5
20980804-af25-4a53-a0ff-36e58649f3a8,yay,5
5b15969e-ef13-4e39-bb18-8ece2debcb59,fun good thinking game,4
25dafba0-c6b2-42f1-a6f0-c89495e8567b,"I would this game is surbeb. I would have given it more stars if I could. The game is smart and fun even when it seems Impossible to pass hard levels but you finally make , it's a wow experience. What I love more about the game is that Kings account features that allows a player to access his game from his current level from any device. I changed my phone and I was scared of how I was gonna start over to reach level 800 which was my recent level but thanks to my kings account, I recovered it all",5
f96ca0a3-875e-461e-8afa-8ea12492400e,it's fun,5
d2da416c-5606-44fe-a950-da335cc6dbd9,great 👍,5
8aaeaa7b-af06-4bee-b3e5-b07cc2aa638d,The game is very hard hardy,5
4fe1174b-7a16-4529-9cfa-1a3a177dbce1,Candy crush is a game I love. I play it daily because it is fun...,5
277d7860-f519-4c13-8750-3e47875e3a67,love it,5
3eb16b46-fb06-442c-add8-1afb7f640f71,Enjoying the game,5
eac3efbf-2949-49b8-883e-a01d61c8ead1,the app is good 👍,4
8626681f-26d9-4ced-9bb0-173871af6219,iyarobha le game futhi the new update,1
fc888429-b2c8-4893-b2c4-5740424565cf,it a game of challenge,5
58bf2570-f8e0-4a99-adf3-99f0cdda5785,very relaxing game!,5
76265fff-b0da-42c8-92e1-349df2aa8559,"I won gold bars, however, they are never added to my inventory : (",1
326b9672-e917-4921-a23b-8c6fff208496,Simply Fun and Relaxing! Cute Graphics! Thank you Developers for a Wonderful Game!,5
052fa3c2-63b1-4e11-a19a-bfa5607b3bbc,it really a fantastic game,5
f57e0e7c-4d23-4a4f-a2f2-2b24dfcb2cdc,"When I play this game, my stress and tension are completely reduced.",5
447e64c8-2f2a-4271-9582-a31fe75ef527,"it's awesome, and interesting,",5
771ec121-1d1c-4609-b949-2ffba0dfb71c,"Why can't you watch ads anymore for boosters, there's no way to get hammers or switches to help pass tough levels",1
1a597411-dc33-4f35-9ffa-e383ca2a5d5d,fun,5
1bde1e10-942a-4469-8703-0fbd56c1c4d0,this game is amazing. I love it.,5
66424801-0791-45d8-8cb6-22acd1bb4ff2,"fun, quite easy , good graphics",5
4a413943-3bc6-4ad0-b84c-c91df5b3f89e,very relaxing and lovely,5
e017df6a-6993-44fb-8a47-34608629570e,AWESOME,5
56be9cb4-9b11-4eb8-a9cc-2f8b123d2997,"I'm hooked, I can't wait until time has passed and I get a new life.",4
0c538b91-7641-4d09-b686-44149f8466f2,amazing game but the map shows blank when you quit the game and you can't play...,4
cdd63f73-941c-42e4-ac20-98b120a6440e,nice 👍,5
e89e8ea7-e3f1-43f2-9ca2-570c9d9b2988,great,5
9bb294ce-5dff-45fc-84c0-d2b57cc2c082,I love it fun game,5
760c81dd-c203-4ab9-8657-cd5055944609,one word the best,5
b188bf7d-a700-47eb-bcb5-aa149d7aaa8d,what happened where you could go and watch ads to get rewards?,4
0c870054-4398-4990-86db-67e056114c65,fun,4
445a2958-a0d2-493f-8551-4d56238b9437,one of great,5
a464eeaf-9528-499a-b404-0d31cb8f7174,love this game,5
6f129893-2df4-4418-a6c8-96e0d2926f8e,good,5
7a87c94b-3f20-4bdd-a29f-3b8f371572d2,great,5
4d370d30-d6ea-4d7d-8fc2-b606d94c3ff7,Superb nice 👍👍🙂,5
c45c0633-f40f-4875-a29b-7696852a39af,must play 🥰,5
d0780dbb-8fcf-4b79-914c-70c754216f3f,I like this,5
6bfb1513-74fa-48de-ab93-d8d2ed6187d5,gud,5
79eca11b-2f00-40db-9998-cf62c28b494b,Good,5
72d5669c-837f-45dd-a3c5-d07e9f4451cc,used to be an enjoyable experience now it's just a stream of anxiety and clutter on screen,1
4f6aef47-50d1-4f7c-8044-33f370f82fbf,Awesome 👍😎 it's very very Good and Timepass Game... I'm Loving ❤️ it,5
e53075b9-913c-4ebc-a0d3-cd446e61a60e,ek no..,4
33e7f399-9ca9-4181-9e80-6b118ae88d20,okay for passing some time,1
46e46487-3e6b-4041-b111-566e9259db22,it's amazing 😍🤩,5
4d600b2a-c967-4f4c-bab1-d1f5d310c825,sweet Game,5
5db53b2a-486c-412b-aee7-6089b88164a0,Goid,1
afecb59c-d9d1-47a0-ac05-4dad5b29deeb,super game,5
93ed56a3-7a5d-4678-b3cc-69eab2491dec,Awesome,5
cf7a97c8-6f45-4aab-9ea9-f0a758774cac,"it's fun, whenever am stressed I just play candy crush",5
8f53207f-812c-4e0b-9ebc-e8ea81f21f73,"Expensive, if you wanna go to higher levels",5
ed6f762c-7995-4398-9a55-e4dcaa6650e6,"best game but need boosters,,,so the lucky wheel should be available within less time comparatively",5
52495fc0-a060-4036-b0af-37e553e47cb6,fun game it helps to just relax your mind...,4
a548ae32-dd19-42b6-8df6-654f7770549a,"I stopped playing for several years, but came back to see if it changed. just as addictive as ever!",5
3e01902a-5447-4431-8ea4-592bfe536ae4,mood refresher,5
ce3c08f8-efef-4f06-82ea-b6b51c3f40c6,I lo ve this Game It Keeps my mind busy But Sometimes it takes my Gold Bars,5
67e72efc-50a6-4161-9b50-2b5bea98ff88,"Edit: After playing almost 10 year and reaching to level 19000, With all boosters and extra lives had from friends, I stopped playing and deleted this game. I finished reading many books using those times playing Candy Crush.",3
80ae2347-80c4-4c00-b82f-5c6750f7c585,Good game,5
b292605b-676c-4cdc-9431-4899ccb4802c,"This is what the makers of CC do: I have 19 moves to get rid of 137 candies. RIGHT! IMPOSSIBLE, unless I buy boosters.",3
555ffba8-b711-48b1-b507-2ecfdc27440c,😘💕,5
177157ee-8f11-4980-8a2c-e42d573f6983,Great,5
cf1b60db-2f68-4273-aa42-19870508bd47,relaxing,5
5d21206f-66e7-4872-b002-045ad5d8ca62,love it!!!,5
74b2ecd0-f788-4974-ae6c-cadc8eb5f43e,very good,5
272c665c-775f-4ad4-8edd-252465788e54,I don't like,5
f72649c8-4e7e-4867-b2ea-307daf2fbf5e,Fun fun Fun and great to switch off 😄,5
12f37e62-239b-4add-9efd-087e4e144c37,excellent,5
f49e3c3b-8944-4b4d-8ace-fb8857436dfd,Amazing,5
16a9a8f4-2a1e-4944-aef5-2577793b0225,best gaming,5
fa8e447b-5780-40d8-9b40-f3f7b8005cdf,nice game,4
2009a571-1335-4eb7-8db4-9c5d88314797,I see a few things I can I'm prove on to make the game more fun and interesting if any one up the latter ever reads this and won't my ide for candy crush plz hit me up,5
99647c49-376c-410a-a488-0e0d809cc4bf,i love this game,5
ea32b6a7-9248-4585-a934-c678f5e75a36,it's an amazing fun game 😀,5
1220c372-c944-4de4-932b-70470c322390,awesome for stress relief,5
6f34d51f-64e3-443f-a3d6-73461e069f32,enjoyable 😉 very fascinating dream like graphics.,5
4e8ecb1f-401e-40d3-aa2f-c31401f2e057,excellent game,5
4eac1bc1-cdb8-4e04-9d3a-c7626575c163,So far I am having fun.,5
a1527afc-120d-4812-aa1b-d64a9d19e50a,enjoying,5
52b46815-4983-4d30-95a7-4589d2dd0f28,"the game was so relaxing, awesome and increase our focus level , refreshing our mind when we will so exhausted.",5
68e08e0d-60d0-48c2-9808-1120a512df9a,very nice game,5
4ba1b51c-ba33-453b-80d8-a77d2cafd3be,"brilliant, wonderful just fantastic 🤩",5
eec71572-6008-4a82-a5c2-1db479ae3bbd,nice,5
7642943d-fcd2-4651-87f1-45e000b759ac,tarik,5
5a2a0b70-74eb-4255-817f-f37d3032429f,My favorite game 😊😍,5
9e77c989-7548-46ef-88f6-21629b7c3b57,good,5
ca501256-10fd-4258-baac-06be27347930,very nyc,5
2af59c2f-c084-4b23-84b2-5939cfb087a3,Good game play,5
b6d97368-99b0-410e-8b8a-25bbdd5dcc15,good thanks,5
7c539ae4-a33a-4161-b5c3-d1a04b369365,madaling laruin..nakakaexcite bawal level...enjoy laruin❤,5
4bea5733-4708-4269-be30-5c134144fea3,it's a really good game and so much fun,5
9d43dd06-d0a9-44a8-90fa-fce578bb88e0,super,5
58396aee-ad7f-4026-9257-7147a1701748,I love this game,5
1fb6dd57-3f8c-4727-a096-cb3ce4b01a9e,"Fast paced fun, great time waster",5
02f55a3a-36b2-4cbb-b699-6eebcbabdea0,this game is so bad 😡😡,1
27bc0ab2-f943-4014-a38c-1fc8c25627c0,I lik,5
23fd743e-429e-4d41-9717-68190ec6ce6d,they give less lives in hard level,1
c4a0f47a-2e36-4667-9355-0641bf7f85bf,nice,5
4e560d5a-2d4b-478e-8a01-7c77444cc489,nice,1
487be2f0-6ac6-478c-adb6-0283ca8f64fd,nice game. i love to play this game. excellent game. i hope you have fun with this game when you download it. try to play more about this game apps.,5
b6ab76d4-bbfe-42c2-9f2f-de82117473b6,This game is good 💯❤️,4
991b78d6-7522-4ea0-bc20-220358a6b33f,"l haven't played in years, it's my new favorite thing all over again!",5
02a32731-0e6f-42f2-bc80-0d653cc8d42e,These is very good game,5
151b142b-6874-441a-a04c-1c8231eb4a93,super game,5
f4001ddf-7081-4f76-af0a-af03b4fbd30b,Still a Still Great time waster.,5
b516a9d9-019d-4cd4-b5d6-f973c8694782,good,5
edab7d85-a234-41b4-8ced-ca8149379df5,fantastic,5
6159e515-91e7-4bfd-91ef-cb3da9280a88,great,5
cb1755b4-e5a3-479a-b7b4-8d444cde065e,good,5
28d1cf45-9a53-4d00-9bf5-d8b8ef2fdb11,𝒇𝒖𝒏,5
527ee63c-badf-4c28-995a-ab8ba36ec251,I like candy crush,3
9057cd3e-7050-4d31-a7b0-7d32936337eb,Classic game. Best to wind down to at night!Thanks Candy Crush ppl,5
b9e5a5ed-2c1e-4ecf-93e5-5ac5df852c87,nice,5
174900eb-8529-4f91-b4fc-d1637fee0a6e,Game:- Don’t take stress 🙂 Me:- How did I failed the level 🤒,5
4236a12c-5204-4d33-8d4e-9d98e88c4e8f,good gsme t o get relief from mental fatigue,5
95c717fd-6dfb-47e4-a0b5-85c44e96206d,Love you you to to,5
e75f8a57-99b9-4595-839c-d9c969971f40,fun,5
5b6a6d2d-913b-41ab-912c-679750630385,Great game to relax. Though I'm disappointed that the old music was removed.,4
b2b81c61-ef34-490e-b4de-c130e1be5967,good game,5
7bd63350-c2ed-4bb3-bb3e-51a9e6973542,fun,5
c2605cd4-cf83-4d8d-a4b5-1b0ad887c976,beautiful,4
c98c41ea-d447-4ea5-ba26-05b4344635ef,best game,4
0aa30952-f696-47b1-87d0-5bb3697114c3,the best game,5
5a7046e2-ce58-4f67-ba3f-166bba2646e2,nice,5
b2faefcf-98d8-4a9d-8b17-0cd522ebb313,very very gooooooood,4
84ceb71e-c150-47e0-9037-b2758d529ea2,good,5
1896e4cc-e89b-4713-8a0c-d4d4c9ff7c44,best,5
eb9eee05-ea80-4f14-9f96-180ce9d2c3ae,great way to pass time buggy at times though,5
b0b3e511-2367-435e-a914-4695c75c72d3,pahle jesa nhi rha ...pahle vali tune jyada acchi thi ...🥲,3
4b2bd46d-b84d-4670-ac63-4cc2352dccbf,"I love this game but in level 400+ they not give any option to win that level and ads also not available to watch and win the level, and now I did not like i hate this game ,i got headache when I play this game 😡😡😡😡😡",1
7cb49923-4804-44f7-b3c4-e5e15ba615e4,No dull moment with this game. it's very addictive,5
34b299c9-341a-49da-bbc6-f85b15335e05,I face eror / issue in 8061 level one of the goal which need to achieve tocompleted the level that is absent in level,3
a594385c-1b78-4d80-b5ae-f3de9e27579a,bad,1
b5a31b80-3182-4b18-ac00-18fd838c1115,I like this game.....this is the best game .... which played by everyone....like older one.... young people..... every one........,5
afcd1e3b-5aaa-4186-b381-80e42e5fdcc2,very good game,5
9580af57-9f71-4bcd-b560-1965bf47c8fb,good,5
4781d676-c957-4c98-bacc-01931310b89d,good,5
6d6797ba-539c-4867-9a9d-4f4676c1ea9c,Relax but sometimes give me pressure 💀,5
a67b7662-4975-427a-889a-f4e7e2f9f78d,good,5
7ec2300c-83c4-4cd0-b12e-8c04a9c4cc24,the best time pass game,5
34a48ebc-80fe-44d4-b4db-9af925ed8930,I love it,5
69aa14bd-7719-4297-8e4b-3fb5fd869212,interesting game,5
b9430730-7478-4ce8-a5f1-64f21e6d1947,this is mind blowing game 🥰🥰🥰🥰🥰😍😍🤩🥳🥳,5
d8abb50f-7d80-4ad9-9f57-2da6d8fdf8d7,❤️❤️,5
145450e3-1994-4964-9a48-fa52da91e615,beautiful,4
8da16313-fdca-4765-a912-d207f7306580,awesome!..,5
9ca3481a-f167-4922-82c8-97237f4d7956,good,5
b84bb473-586a-4eb0-8889-702a1e500cc1,great,4
1ad73142-b9c2-42b7-87e8-c55bb1cb2de9,good game,5
485bf4b4-f577-4f81-85ef-fade5db4c907,good bad,1
c950c514-def6-4f8b-b323-4d73122a9567,joyful....,5
577c10e5-8133-4c29-ba47-1399df7af059,Please help me recover an old account after linking it to Facebook and the Facebook account was closed,5
b30f4b27-8e5e-4669-8a94-e203cb02ba25,Good Game,5
4e07fb61-1063-4fbd-bbe3-77d3a54aec56,"GOOD GAME ,LUCKYEST PLAYED",5
4c9db7ed-e108-4fa3-aece-0e9d521449f3,good,4
264a944c-1037-4ad0-98a4-18a8f410d4e6,🥰🥰🥰,5
1fdc4602-7ac4-41d2-b7ab-c24fc0ec0412,excellent...,5
d19e1bf0-5dd2-42d8-8884-1bf499bf3468,fun,5
7d7793e3-effe-4558-8daa-c0307f8e6f01,Wonderful Time Passer,4
df7b6bd8-cd5a-4280-8e70-563906de97e8,good game,5
da53517b-36b1-4674-aa7a-41063ca43a82,Great game,5
e4e40034-52a9-4b16-b3ce-e1dfe3b1c80c,very good 👍👍👍👍,5
e7a893e1-c2e3-4289-802c-b9778bb51180,well and good 😊😊,5
a374f322-2344-481c-a75c-23c7331b811a,👌👌,4
017aa6a6-e76d-44b6-b579-1fcd46fbb7fc,"The worst game that's left millions addicted and unproductive. My wife is addicted to it to the point of toxicity. She plays from morning till night. The house is a mess, and my toddler is left watching YouTube all day. This game should be banned and removed.",1
22d390c5-dde0-4b77-8c23-1af71cdcb722,i love this game best game ever played ❤️❤️❤️❤️❤️❤️❤️❤️ candy crush saga is my favourite show ever played ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,5
